benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
crc,board,1,ok,3,1,557,4.61,2520997.71,,35,1,39423
crc,board,2,ok,3,1,557,4.21,1686004.89,,40,0,39423
crc,board,3,ok,3,1,557,5.01,1064721.95,,69,0,39423
crc,board,4,ok,3,1,557,13.79,11257530.6,,48,1,39423
crc,board,5,ok,3,1,557,10.61,8059036.63,,44,2,39423
crc,board,6,ok,3,1,557,3.43,1628762.16,,38,0,39423
crc,board,7,ok,3,1,557,8.2,6521332.93,,42,0,39423
crc,board,8,ok,3,1,557,9.55,6997721.22,,53,4,39423
crc,board,9,ok,3,1,557,11.09,8358882.57,,37,0,39423
crc,board,10,ok,3,1,557,9.61,7908796.8,,41,6,39423
