benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
dijkstra,board,1,ok,4,1,0,43.31,41214203.76,,517,16,3788
dijkstra,board,2,ok,4,1,0,54.13,51599804.17,,683,13,3788
dijkstra,board,3,ok,4,1,0,51.51,47523988.16,,1235,12,3788
dijkstra,board,4,ok,4,1,0,199.91,197350114.62,,953,0,3788
dijkstra,board,5,ok,4,1,0,143.83,141387996.68,,721,45,3788
dijkstra,board,6,ok,4,1,0,64.43,62615275.04,,644,12,3788
dijkstra,board,7,ok,4,1,0,109.21,107445646.91,,656,0,3788
dijkstra,board,8,ok,4,1,0,162.0,159429964.49,,1007,103,3788
dijkstra,board,9,ok,4,1,0,156.09,153332018.42,,606,0,3788
dijkstra,board,10,ok,4,1,0,139.63,137959200.08,,636,105,3788
