benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
dijkstra,board,1,ok,2,4,843,4.51,2586785.2,,39,1,3788
dijkstra,board,2,ok,2,4,843,4.44,1887629.88,,44,0,3788
dijkstra,board,3,ok,2,4,843,4.93,1058787.55,,60,0,3788
dijkstra,board,4,ok,2,4,843,13.73,11280525.92,,47,0,3788
dijkstra,board,5,ok,2,4,843,11.83,9337399.97,,52,3,3788
dijkstra,board,6,ok,2,4,843,3.43,1695122.84,,41,0,3788
dijkstra,board,7,ok,2,4,843,10.29,8570872.17,,47,0,3788
dijkstra,board,8,ok,2,4,843,12.63,10028652.88,,59,6,3788
dijkstra,board,9,ok,2,4,843,11.13,8429025.16,,42,2,3788
dijkstra,board,10,ok,2,4,843,9.71,7949825.01,,42,6,3788
