benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
dijkstra,board,1,ok,2,2,616,2.15,127550.5,,10,0,3788
dijkstra,board,2,ok,2,2,616,3.21,616289.9,,12,0,3788
dijkstra,board,3,ok,2,2,616,4.12,195563.12,,15,0,3788
dijkstra,board,4,ok,2,2,616,5.84,3393123.01,,12,0,3788
dijkstra,board,5,ok,2,2,616,4.34,1880702.9,,12,0,3788
dijkstra,board,6,ok,2,2,616,2.9,1043553.06,,14,0,3788
dijkstra,board,7,ok,2,2,616,3.72,2053195.34,,13,0,3788
dijkstra,board,8,ok,2,2,616,3.5,897344.98,,14,0,3788
dijkstra,board,9,ok,2,2,616,3.62,935110.09,,11,0,3788
dijkstra,board,10,ok,2,2,616,1.82,116554.27,,9,0,3788
