benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
poly1305,board,1,ok,1,16,539,2.09,21.93,,1,0,108
poly1305,board,2,ok,1,16,539,2.57,21.95,,1,0,108
poly1305,board,3,ok,1,16,539,3.91,21.94,,1,0,108
poly1305,board,4,ok,1,16,539,2.59,21.94,,1,0,108
poly1305,board,5,ok,1,16,539,2.6,21.94,,1,0,108
poly1305,board,6,ok,1,16,539,1.88,21.94,,1,0,108
poly1305,board,7,ok,1,16,539,1.77,21.94,,1,0,108
poly1305,board,8,ok,1,16,539,2.71,21.94,,2,0,108
poly1305,board,9,ok,1,16,539,2.79,21.94,,1,0,108
poly1305,board,10,ok,1,16,539,1.77,21.94,,1,0,108
