benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
qsort,board,1,ok,3,21,665,2.29,139046.06,,11,0,9987
qsort,board,2,ok,3,21,665,3.14,607249.09,,11,0,9987
qsort,board,3,ok,3,21,665,4.09,151691.98,,11,0,9987
qsort,board,4,ok,3,21,665,5.84,3408739.41,,14,0,9987
qsort,board,5,ok,3,21,665,4.4,1870128.53,,11,0,9987
qsort,board,6,ok,3,21,665,2.72,887526.94,,12,0,9987
qsort,board,7,ok,3,21,665,3.73,2064412.93,,12,0,9987
qsort,board,8,ok,3,21,665,3.5,906057.97,,15,0,9987
qsort,board,9,ok,3,21,665,5.34,2511294.18,,12,0,9987
qsort,board,10,ok,3,21,665,1.92,128045.76,,10,0,9987
