benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
qsort,board,1,ok,5,1,0,9.76,7718582.17,,105,3,9987
qsort,board,2,ok,5,1,0,12.11,9493403.07,,146,2,9987
qsort,board,3,ok,5,1,0,12.49,8510101.18,,245,2,9987
qsort,board,4,ok,5,1,0,45.28,42740251.94,,193,0,9987
qsort,board,5,ok,5,1,0,30.44,27965882.99,,148,9,9987
qsort,board,6,ok,5,1,0,13.32,11518967.47,,132,2,9987
qsort,board,7,ok,5,1,0,24.61,22901873.74,,140,0,9987
qsort,board,8,ok,5,1,0,32.71,30124186.83,,202,19,9987
qsort,board,9,ok,5,1,0,33.56,30867101.36,,129,0,9987
qsort,board,10,ok,5,1,0,29.39,27610620.88,,131,21,9987
