benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
sha256_fixed,board,1,ok,4,3,529,2.17,30378.02,,3,0,244
sha256_fixed,board,2,ok,4,3,529,2.86,239187.88,,3,0,244
sha256_fixed,board,3,ok,4,3,529,3.93,30363.84,,3,0,244
sha256_fixed,board,4,ok,4,3,529,3.27,774079.69,,3,0,244
sha256_fixed,board,5,ok,4,3,529,2.58,30466.88,,3,0,244
sha256_fixed,board,6,ok,4,3,529,1.87,30443.98,,3,0,244
sha256_fixed,board,7,ok,4,3,529,2.67,946782.38,,3,0,244
sha256_fixed,board,8,ok,4,3,529,3.37,763715.28,,4,0,244
sha256_fixed,board,9,ok,4,3,529,3.63,823859.81,,3,0,244
sha256_fixed,board,10,ok,4,3,529,1.73,30349.15,,3,0,244
