benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
stringsearch_fixed,board,1,ok,5,317,667,2.28,195335.25,,15,0,20
stringsearch_fixed,board,2,ok,5,317,667,3.23,705316.37,,21,0,20
stringsearch_fixed,board,3,ok,5,317,667,4.15,306573.92,,25,0,20
stringsearch_fixed,board,4,ok,5,317,667,7.77,5238685.13,,25,0,20
stringsearch_fixed,board,5,ok,5,317,667,5.65,3164907.24,,22,1,20
stringsearch_fixed,board,6,ok,5,317,667,2.97,1111396.51,,19,0,20
stringsearch_fixed,board,7,ok,5,317,667,4.71,3070378.24,,21,0,20
stringsearch_fixed,board,8,ok,5,317,667,5.07,2388693.79,,26,1,20
stringsearch_fixed,board,9,ok,5,317,667,6.12,3381397.35,,19,0,20
stringsearch_fixed,board,10,ok,5,317,667,1.95,195066.87,,15,0,20
