benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
stringsearch_fixed,board,1,ok,6,3,599,4.81,2684370.54,,46,1,20
stringsearch_fixed,board,2,ok,6,3,599,6.91,4325362.96,,59,1,20
stringsearch_fixed,board,3,ok,6,3,599,5.26,1305452.47,,84,0,20
stringsearch_fixed,board,4,ok,6,3,599,16.45,13936256.96,,63,0,20
stringsearch_fixed,board,5,ok,6,3,599,13.67,11185165.0,,61,3,20
stringsearch_fixed,board,6,ok,6,3,599,6.58,4695178.15,,54,1,20
stringsearch_fixed,board,7,ok,6,3,599,10.77,9028889.63,,56,0,20
stringsearch_fixed,board,8,ok,6,3,599,12.77,10154306.97,,74,6,20
stringsearch_fixed,board,9,ok,6,3,599,13.65,10910445.66,,51,1,20
stringsearch_fixed,board,10,ok,6,3,599,9.85,8061779.88,,52,6,20
