benchmark,capacitor,status,basic_blocks,edges,abstract_cfg_blocks,abstract_cfg_edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_store_mem_calls,runtime_debug_restore_mem_calls,candidate_globals,milp_allocation_mode,milp_variables,milp_constraints,milp_presolved_variables,milp_presolved_constraints,optimal_solution,distributed_checkpoints_inserted,vm_placed_globals,vm_placed_global_names,milp_solve_time_ms,result,run_attempts
aes-5uF,5uF,ok,26,35,9,10,5,232,47984,766,26706.4,0,0,0,3,regional,2475,10033,75,168,yes,51,0,,27,,1
aes-10uF,10uF,ok,26,35,9,10,5,249,48672,630,26480.94,0,0,0,3,regional,2475,10033,86,194,yes,51,0,,29,,1
aes-50uF,50uF,ok,20,27,5,4,1,112,42576,635,27130.95,0,0,0,3,regional,1195,4341,28,34,yes,0,2,g_ctx:5;g_buf:5,7,,1
crc-5uF,5uF,ok,11,15,8,9,3,15,37984,591,10577.49,0,0,0,1,regional,146,540,30,72,yes,0,0,,4,,1
crc-10uF,10uF,ok,9,12,6,6,2,12,37088,712,10593.1,0,0,0,1,regional,110,397,21,48,yes,0,0,,2,,1
crc-50uF,50uF,ok,7,9,4,3,1,9,36288,552,10500.0,0,0,0,1,regional,61,202,5,7,yes,0,0,,1,,1
rsa-5uF,5uF,ok,114,169,54,71,16,1654,100336,695,46096.61,0,0,0,8,regional,10270,42959,1835,5257,yes,26,3,g_A:1;__local_main.qn_arr.i:24;__local_main.qn_arr.i34:19,1301,,1
rsa-10uF,10uF,ok,114,169,54,71,18,1643,99648,608,46593.05,0,0,0,8,regional,10270,42959,1726,4860,yes,28,4,g_base:1;g_product:2;__local_main.qn_arr.i:24;__local_main.qn_arr.i34:18,1285,,1
rsa-50uF,50uF,ok,110,163,50,65,15,4561,130496,628,46443.0,0,0,0,8,regional,9013,37494,2755,8121,yes,26,2,__local_main.qn_arr.i:24;__local_main.qn_arr.i34:20,4274,,1
dijkstra-5uF,5uF,ok,17,24,9,12,3,56,41760,644,222009.94,0,0,0,4,regional,961,3886,141,316,yes,39,0,,17,,1
dijkstra-10uF,10uF,ok,17,24,9,12,4,61,41776,674,221092.79,0,0,0,4,regional,961,3886,143,320,yes,41,0,,17,,1
dijkstra-50uF,50uF,ok,14,20,7,9,2,54,41488,602,216979.89,0,0,0,4,regional,674,2698,104,215,yes,34,0,,19,,1
qsort-5uF,5uF,ok,17,24,12,15,5,25,39840,590,1095516.92,0,0,0,2,regional,324,1264,47,115,yes,7,0,,8,,1
qsort-10uF,10uF,ok,17,24,12,15,5,26,39712,589,1092046.71,0,0,0,2,regional,324,1264,47,115,yes,7,0,,8,,1
qsort-50uF,50uF,ok,13,18,6,6,3,11,37664,592,1032169.02,0,0,0,2,regional,130,470,4,6,yes,0,1,g_checksum_sink:2,1,,1
activity_recognition-5uF,5uF,ok,16,22,8,9,3,38,40032,589,34320.25,0,0,0,2,regional,426,1647,59,124,yes,5,0,,8,,1
activity_recognition-10uF,10uF,ok,16,22,8,9,3,37,40160,693,34123.22,0,0,0,2,regional,426,1647,59,124,yes,5,0,,9,,1
activity_recognition-50uF,50uF,ok,14,19,6,6,2,31,38784,703,33807.98,0,0,0,2,regional,352,1343,39,72,yes,6,1,lfsr_state:6,5,,1
bitcount-5uF,5uF,ok,61,92,36,51,17,248,71232,737,4455055.51,0,0,0,1,regional,5679,24799,577,1695,yes,24,0,,100,,1
bitcount-10uF,10uF,ok,61,92,36,51,17,246,64368,641,4431097.48,0,0,0,1,regional,5679,24799,577,1695,yes,24,0,,93,,1
bitcount-50uF,50uF,ok,61,92,36,51,17,250,68576,587,4411874.67,0,0,0,1,regional,5679,24799,577,1695,yes,24,0,,97,,1
chacha20-5uF,5uF,ok,5,6,3,2,1,16,37392,644,1649.9,0,0,0,3,regional,285,997,11,15,yes,0,0,,2,,1
chacha20-10uF,10uF,ok,5,6,3,2,1,15,37584,440,1649.81,0,0,0,3,regional,285,997,11,15,yes,0,0,,2,,1
chacha20-50uF,50uF,ok,5,6,3,2,1,16,37504,428,1649.95,0,0,0,3,regional,285,997,11,15,yes,0,0,,2,,1
sensor_fusion-5uF,5uF,ok,174,264,174,263,4,140309,552928,581,26012.08,0,0,0,1,regional,24273,107846,21764,74008,yes,14,0,,139256,,1
sensor_fusion-10uF,10uF,ok,177,268,4,4,2,45,39168,855,25476.45,0,0,0,1,regional,424,1675,8,14,yes,2,0,,2,,1
sensor_fusion-50uF,50uF,ok,177,268,4,4,2,51,39216,713,25464.39,0,0,0,1,regional,424,1675,8,14,yes,2,0,,2,,1
poly1305-5uF,5uF,ok,1,0,1,0,1,5,34048,619,21.94,0,0,0,2,regional,8,17,0,0,yes,0,0,,0,,1
poly1305-10uF,10uF,ok,1,0,1,0,1,4,34016,420,21.94,0,0,0,2,regional,8,17,0,0,yes,0,0,,0,,1
poly1305-50uF,50uF,ok,1,0,1,0,1,5,34064,412,21.94,0,0,0,2,regional,8,17,0,0,yes,0,0,,0,,1
cuckoo_filter-5uF,5uF,ok,18,26,5,5,2,14,37664,581,2596.57,0,0,0,1,regional,176,664,13,28,yes,4,0,,3,,1
