benchmark,capacitor,status,basic_blocks,edges,abstract_cfg_blocks,abstract_cfg_edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,candidate_globals,milp_allocation_mode,milp_variables,milp_constraints,milp_presolved_variables,milp_presolved_constraints,optimal_solution,distributed_checkpoints_inserted,vm_placed_globals,vm_placed_global_names,milp_solve_time_ms
activity_recognition,50uF,ok,14,19,6,6,3,47,41008,421,9,regional,429,1568,117,240,yes,9,8,lfsr_state:6;__local_main.features.i.sroa.0:2;__local_main.features.i.sroa.4:2;__local_main.features.i3.sroa.0:2;__local_main.features.i3.sroa.4:2;__local_main.stats.sroa.0.i:6;__local_main.features.i12.sroa.0:6;__local_main.features.i12.sroa.5:6,17
aes,50uF,ok,26,35,9,10,5,257,48528,483,3,regional,2475,10033,80,177,yes,51,1,g_ctx:3,38
bitcount,50uF,ok,61,92,36,51,13,242,65840,421,2,regional,5750,25057,623,1839,yes,16,0,,86
chacha20,50uF,ok,11,15,4,4,2,37,39744,490,3,regional,495,1907,22,45,yes,31,1,__local_main.tmp.i:4,5
crc,50uF,ok,9,12,4,3,2,8,35648,429,2,regional,84,278,5,7,yes,0,1,__local_main.result:4,1
cuckoo_filter,50uF,ok,18,26,5,5,2,22,39040,490,3,regional,222,833,49,105,yes,2,2,__local_main.inserts:5;__local_main.found:5,8
dijkstra,50uF,ok,14,20,7,9,2,56,41440,426,5,regional,684,2734,113,242,yes,33,0,,21
poly1305,50uF,ok,7,9,4,4,2,29,39120,418,3,regional,559,2135,31,68,yes,0,0,,4
qsort,50uF,ok,13,18,6,6,3,10,37776,464,2,regional,130,470,4,6,yes,0,1,g_checksum_sink:2,1
rsa,50uF,ok,112,165,22,27,7,502,61184,641,8,regional,3979,16305,734,1941,yes,3,0,,364
sensor_fusion,50uF,ok,177,268,4,4,2,48,39792,433,2,regional,431,1696,17,34,yes,2,1,__local_main.acc:4,3
sha256,50uF,ok,31,45,8,9,3,112,46256,434,6,regional,1995,7770,104,236,yes,18,1,__local_main.lengthPad.i:8,27
stringsearch,50uF,ok,29,42,16,21,2,79,44416,407,4,regional,778,3120,344,920,yes,0,2,len:16;findme:16,41
