benchmark,capacitor,status,basic_blocks,edges,abstract_cfg_blocks,abstract_cfg_edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_save_vreg_calls,runtime_debug_restore_vreg_calls,runtime_debug_store_mem_calls,runtime_debug_restore_mem_calls,candidate_globals,milp_allocation_mode,milp_variables,milp_constraints,milp_presolved_variables,milp_presolved_constraints,optimal_solution,distributed_checkpoints_inserted,milp_solve_time_ms,result
aes-5uF,5uF,ok,23,31,15,17,5,3546,71568,1672,29581.23,48,0,0,0,0,3,coarse,4358,17760,197,488,yes,96,57,107
aes-10uF,10uF,ok,23,31,13,14,4,2825,64784,1464,26387.04,24,0,0,0,0,3,coarse,3247,13033,175,409,yes,51,33,107
aes-50uF,50uF,ok,26,35,13,14,5,2831,68640,1600,26232.8,5,0,0,0,0,3,coarse,3241,13039,174,410,yes,51,49,107
crc-5uF,5uF,ok,11,15,11,12,4,18,52496,1622,10756.69,19,0,0,0,0,1,coarse,193,706,41,92,yes,3,7,39423
crc-10uF,10uF,ok,11,15,11,12,3,17,52560,1392,10630.18,9,0,0,0,0,1,coarse,193,706,41,92,yes,3,6,39423
crc-50uF,50uF,ok,9,12,9,9,2,11,51232,1361,10624.75,2,0,0,0,0,1,coarse,145,519,44,92,yes,2,3,39423
rsa-5uF,5uF,ok,112,167,80,101,16,3145,167296,1447,45394.54,95,0,0,0,0,6,coarse,13574,56676,4758,14378,yes,23,2552,32
rsa-10uF,10uF,ok,118,175,32,39,7,369,79760,1391,45077.34,48,0,0,0,0,6,coarse,5548,22997,425,1086,yes,6,96,32
rsa-50uF,50uF,ok,114,169,28,33,8,348,77648,1488,44389.58,9,0,0,0,0,6,coarse,4556,18690,821,2106,yes,3,132,32
dijkstra-5uF,5uF,ok,17,24,10,13,3,45,55920,1255,396918.31,413,0,0,0,0,1,coarse,983,3971,125,273,yes,36,14,33447
dijkstra-10uF,10uF,ok,17,24,10,13,3,63,56192,1453,387576.28,197,0,0,0,0,1,coarse,983,3971,125,273,yes,39,19,33447
dijkstra-50uF,50uF,ok,17,24,10,13,4,48,56048,1253,378620.51,57,0,0,0,0,1,coarse,983,3971,125,273,yes,41,14,33447
qsort-5uF,5uF,ok,17,24,15,18,5,25,54656,1291,1255536.21,1390,0,0,0,0,2,coarse,360,1392,146,377,yes,8,10,27023
qsort-10uF,10uF,ok,17,24,15,18,5,24,54688,1264,1248390.59,902,0,0,0,0,2,coarse,360,1392,146,377,yes,8,10,27023
qsort-50uF,50uF,ok,10,14,9,9,3,11,52016,1280,1204240.41,640,0,0,0,0,2,coarse,143,509,29,55,yes,1,4,27023
activity_recognition-5uF,5uF,ok,12,16,12,14,3,62,55456,1319,34341.78,80,0,0,0,0,2,coarse,676,2690,97,228,yes,6,41,64
activity_recognition-10uF,10uF,ok,16,22,11,12,3,29,54944,1332,34195.87,38,0,0,0,0,2,coarse,519,2016,100,232,yes,6,13,64
activity_recognition-50uF,50uF,ok,14,19,9,9,2,20,53392,1321,33710.62,5,0,0,0,0,2,coarse,433,1666,65,137,yes,4,5,64
bitcount-5uF,5uF,ok,61,92,44,59,17,306,89840,1306,4765359.88,5612,0,0,0,0,1,coarse,6962,29840,2023,5955,yes,38,162,52382
bitcount-10uF,10uF,ok,61,92,44,59,17,297,92864,1341,4691579.0,2716,0,0,0,0,1,coarse,6962,29840,2023,5955,yes,38,157,52382
bitcount-50uF,50uF,ok,61,92,44,59,17,358,101088,1373,4647505.7,541,0,0,0,0,1,coarse,6962,29840,2023,5955,yes,38,207,52382
