benchmark,capacitor,status,basic_blocks,edges,abstract_cfg_blocks,abstract_cfg_edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_store_mem_calls,runtime_debug_restore_mem_calls,candidate_globals,milp_allocation_mode,milp_variables,milp_constraints,milp_presolved_variables,milp_presolved_constraints,optimal_solution,distributed_checkpoints_inserted,vm_placed_globals,vm_placed_global_names,milp_solve_time_ms,result,run_attempts
aes-5uF,5uF,ok,26,35,9,10,4,259,48000,591,105532.06,48,0,0,3,regional,2475,10033,61,134,yes,49,0,,31,107,1
aes-10uF,10uF,ok,26,35,9,10,4,223,46864,635,104889.18,20,0,0,3,regional,2475,10033,61,133,yes,49,0,,26,107,1
aes-50uF,50uF,ok,26,35,9,10,5,223,47584,579,104570.64,5,0,0,3,regional,2475,10033,80,177,yes,51,1,g_ctx:3,36,107,1
crc-5uF,5uF,ok,11,15,8,9,4,12,36208,410,30175.13,11,0,0,2,regional,158,576,28,61,yes,0,1,__local_main.result:2,3,20431,1
crc-10uF,10uF,ok,9,12,6,6,3,23,36144,507,29833.38,5,0,0,2,regional,118,417,20,38,yes,0,1,__local_main.result:2,6,20431,1
crc-50uF,50uF,ok,9,12,4,3,2,18,34336,465,30021.76,1,0,0,2,regional,85,281,5,7,yes,0,1,__local_main.result:3,1,20431,1
rsa-5uF,5uF,ok,114,169,54,71,18,1284,92976,411,46502.55,79,0,0,8,regional,10270,42959,1531,4300,yes,27,5,g_base:1;g_A:1;g_product:1;__local_main.qn_arr.i:24;__local_main.qn_arr.i34:22,1062,32,1
rsa-10uF,10uF,ok,114,169,54,71,17,1951,94336,423,46394.88,73,0,0,8,regional,10270,42959,1540,4319,yes,27,3,g_product:1;__local_main.qn_arr.i:25;__local_main.qn_arr.i34:21,1701,32,1
rsa-50uF,50uF,ok,110,163,50,65,16,4841,130288,419,46125.66,67,0,0,8,regional,9013,37494,2755,8121,yes,28,3,g_product:1;__local_main.qn_arr.i:25;__local_main.qn_arr.i34:18,4639,32,1
dijkstra-5uF,5uF,ok,17,24,9,12,3,41,41088,533,224157.09,142,0,0,5,regional,979,3949,124,274,yes,38,0,,15,33447,1
dijkstra-10uF,10uF,ok,17,24,9,12,3,51,41808,617,221118.79,75,0,0,5,regional,979,3949,137,307,yes,38,0,,21,33447,1
dijkstra-50uF,50uF,ok,14,20,7,9,2,46,41152,555,217285.77,32,0,0,5,regional,688,2746,113,242,yes,33,0,,22,33447,1
qsort-5uF,5uF,ok,17,24,12,15,5,21,38736,597,1094438.79,766,0,0,2,regional,324,1264,47,115,yes,7,0,,9,27023,1
qsort-10uF,10uF,ok,17,24,12,15,5,17,38336,556,1092134.64,643,0,0,2,regional,324,1264,36,75,yes,7,0,,6,27023,1
qsort-50uF,50uF,ok,13,18,6,6,3,8,36576,534,1032365.83,129,0,0,2,regional,130,470,4,6,yes,0,1,g_checksum_sink:2,1,27023,1
activity_recognition-5uF,5uF,ok,16,22,8,9,5,41,41504,407,34288.54,28,0,0,9,regional,540,2007,153,336,yes,6,5,lfsr_state:4;__local_main.features.i.sroa.0:1;__local_main.features.i.sroa.4:1;__local_main.features.i4.sroa.0:3;__local_main.features.i4.sroa.4:3,24,64,1
activity_recognition-10uF,10uF,ok,16,22,8,9,4,46,41296,414,34050.91,13,0,0,9,regional,540,2007,147,323,yes,6,6,lfsr_state:4;__local_main.features.i.sroa.0:4;__local_main.features.i.sroa.4:4;__local_main.features.i4.sroa.0:4;__local_main.features.i4.sroa.4:4;__local_main.stats.sroa.0.i:4,28,64,1
activity_recognition-50uF,50uF,ok,14,19,6,6,3,27,40144,557,33915.6,3,0,0,9,regional,436,1589,117,242,yes,9,8,lfsr_state:6;__local_main.features.i.sroa.0:2;__local_main.features.i.sroa.4:2;__local_main.features.i4.sroa.0:2;__local_main.features.i4.sroa.4:2;__local_main.stats.sroa.0.i:4;__local_main.features.i13.sroa.0:4;__local_main.features.i13.sroa.5:4,14,64,1
bitcount-5uF,5uF,ok,61,92,36,51,17,181,65232,643,4454085.5,1799,0,0,2,regional,5751,25060,623,1839,yes,16,0,,82,52382,1
bitcount-10uF,10uF,ok,61,92,36,51,18,192,65056,562,4433326.48,890,0,0,2,regional,5751,25060,622,1835,yes,16,0,,81,52382,1
bitcount-50uF,50uF,ok,61,92,36,51,13,197,65664,571,4423022.56,180,0,0,2,regional,5751,25060,623,1839,yes,16,0,,85,52382,1
chacha20-5uF,5uF,ok,11,15,4,4,2,25,37632,423,51050.24,16,0,0,3,regional,496,1910,22,45,yes,30,0,,4,79,1
chacha20-10uF,10uF,ok,11,15,4,4,2,26,37712,394,50566.63,8,0,0,3,regional,496,1910,23,46,yes,30,0,,4,79,1
chacha20-50uF,50uF,ok,11,15,4,4,3,30,38848,427,51058.88,4,0,0,3,regional,496,1910,22,45,yes,32,1,__local_main.tmp.i:1,6,79,1
sensor_fusion-5uF,5uF,ok,174,264,174,263,4,69954,535888,557,25679.23,50,0,0,2,regional,24450,108473,21813,74252,yes,11,1,g_output:174,69057,613,1
sensor_fusion-10uF,10uF,ok,177,268,4,4,2,19,39008,590,25605.4,17,0,0,2,regional,432,1699,17,34,yes,0,1,g_output:4,5,613,1
sensor_fusion-50uF,50uF,ok,177,268,4,4,2,15,38928,448,25464.16,2,0,0,2,regional,432,1699,17,34,yes,2,2,__local_main.acc:4;g_output:4,3,613,1
poly1305-5uF,5uF,ok,5,6,4,4,2,34,37072,561,482087.42,256,0,0,3,regional,371,1400,31,67,yes,0,0,,6,68,1
poly1305-10uF,10uF,ok,7,9,4,4,2,19,36896,418,478621.73,86,0,0,3,regional,559,2135,31,68,yes,0,0,,4,68,1
poly1305-50uF,50uF,ok,7,9,4,4,2,29,38000,498,476102.24,16,0,0,3,regional,559,2135,31,68,yes,0,0,,6,68,1
cuckoo_filter-5uF,5uF,ok,22,32,9,11,5,42,39904,515,43624.49,44,0,0,3,regional,578,2333,64,149,yes,7,2,__local_main.inserts:3;__local_main.found:6,18,4048,1
cuckoo_filter-10uF,10uF,ok,22,32,7,8,3,27,37520,516,43539.66,20,0,0,3,regional,434,1716,42,90,yes,4,1,__local_main.inserts:7,6,4048,1
cuckoo_filter-50uF,50uF,ok,18,26,5,5,2,20,38048,415,43086.28,4,0,0,3,regional,224,839,49,105,yes,2,2,__local_main.inserts:5;__local_main.found:5,12,4048,1
sha256_fixed-5uF,5uF,ok,29,42,23,30,4,194,57808,415,88701.39,34,0,0,4,regional,4059,16802,619,1653,yes,45,0,,110,131,1
sha256_fixed-10uF,10uF,ok,38,54,14,18,4,109,50960,512,89717.97,18,0,0,4,regional,3089,12800,213,552,yes,1,0,,53,131,1
sha256_fixed-50uF,50uF,ok,31,45,8,9,3,51,42976,438,87741.03,5,0,0,4,regional,1493,5840,83,183,yes,0,1,__local_main.lengthPad.i:5,19,131,1
stringsearch_fixed-5uF,5uF,ok,32,46,18,24,4,258,48304,425,36213.78,88,0,0,4,regional,966,3908,425,1141,yes,6,0,,220,20,1
stringsearch_fixed-10uF,10uF,ok,32,46,18,24,4,222,48224,447,35712.16,59,0,0,4,regional,966,3908,425,1141,yes,6,0,,182,20,1
stringsearch_fixed-50uF,50uF,ok,29,42,16,21,2,81,44544,423,33349.23,26,0,0,4,regional,789,3159,358,952,yes,0,1,len:16,55,20,1
