benchmark,capacitor,status,basic_blocks,edges,abstract_cfg_blocks,abstract_cfg_edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_save_vreg_calls,runtime_debug_restore_vreg_calls,runtime_debug_store_mem_calls,runtime_debug_restore_mem_calls,candidate_globals,milp_allocation_mode,milp_variables,milp_constraints,milp_presolved_variables,milp_presolved_constraints,optimal_solution,distributed_checkpoints_inserted,milp_solve_time_ms,result
aes-5uF,5uF,ok,23,31,15,17,5,3441,73792,1537,29565.68,48,0,0,0,0,3,regional,4400,17885,314,662,yes,96,131,107
aes-10uF,10uF,ok,23,31,13,14,4,2955,71136,1593,26370.66,24,0,0,0,0,3,regional,3283,13135,249,520,yes,51,92,107
aes-50uF,50uF,ok,26,35,13,14,5,2701,66832,1630,26660.26,5,0,0,0,0,3,regional,3277,13141,246,519,yes,53,92,107
crc-5uF,5uF,ok,11,15,11,12,4,17,52432,1279,10752.66,19,0,0,0,0,1,regional,203,742,68,159,yes,3,7,39423
crc-10uF,10uF,ok,11,15,11,12,3,17,52800,1276,10625.06,9,0,0,0,0,1,regional,203,742,68,159,yes,3,6,39423
crc-50uF,50uF,ok,9,12,9,9,2,11,51296,1436,10619.75,2,0,0,0,0,1,regional,153,546,50,106,yes,2,3,39423
rsa-5uF,5uF,ok,112,167,80,101,19,5632,195136,1511,44861.4,95,0,0,0,0,6,regional,14048,58099,5100,15290,yes,21,5071,32
rsa-10uF,10uF,ok,118,175,32,39,7,394,82896,1581,44976.32,48,0,0,0,0,6,regional,5734,23544,564,1449,yes,6,131,32
rsa-50uF,50uF,ok,114,169,28,33,8,488,79360,1525,44551.96,9,0,0,0,0,6,regional,4718,19149,951,2430,yes,3,291,32
dijkstra-5uF,5uF,ok,17,24,10,13,3,47,55904,1491,397396.96,413,0,0,0,0,1,regional,992,4010,125,273,yes,36,14,33447
dijkstra-10uF,10uF,ok,17,24,10,13,3,45,55728,1447,388167.27,197,0,0,0,0,1,regional,992,4010,125,273,yes,39,13,33447
dijkstra-50uF,50uF,ok,17,24,10,13,4,72,55808,1846,378663.91,57,0,0,0,0,1,regional,992,4010,125,273,yes,41,21,33447
qsort-5uF,5uF,ok,17,24,15,18,5,40,54736,1659,1257731.02,1390,0,0,0,0,2,regional,388,1486,145,374,yes,8,13,27023
qsort-10uF,10uF,ok,17,24,15,18,5,32,55104,1512,1248243.73,902,0,0,0,0,2,regional,388,1486,145,374,yes,8,13,27023
qsort-50uF,50uF,ok,10,14,9,9,3,11,52304,1483,1180756.19,640,0,0,0,0,2,regional,159,555,30,56,yes,1,3,27023
activity_recognition-5uF,5uF,ok,12,16,12,14,3,73,56112,1473,34330.69,80,0,0,0,0,2,regional,698,2763,115,265,yes,6,50,64
activity_recognition-10uF,10uF,ok,16,22,11,12,3,38,55232,1463,34180.75,38,0,0,0,0,2,regional,539,2078,114,266,yes,6,20,64
activity_recognition-50uF,50uF,ok,14,19,9,9,2,23,53712,1532,33696.12,5,0,0,0,0,2,regional,449,1712,78,166,yes,4,7,64
bitcount-5uF,5uF,ok,61,92,44,59,17,292,85680,1548,4750410.31,5612,0,0,0,0,1,regional,7005,30017,2050,6041,yes,38,152,52382
bitcount-10uF,10uF,ok,61,92,44,59,17,299,86192,1490,4690238.83,2716,0,0,0,0,1,regional,7005,30017,2050,6041,yes,38,156,52382
bitcount-50uF,50uF,ok,61,92,44,59,17,330,88880,1559,4645824.81,541,0,0,0,0,1,regional,7005,30017,2050,6041,yes,38,191,52382
