benchmark,capacitor,status,basic_blocks,edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,result,run_attempts
aes-5uF,5uF,ok,373,552,15,6,32928,0,171503.31,3626,107,1
aes-10uF,10uF,ok,401,594,17,6,33632,0,170436.57,3620,107,1
aes-50uF,50uF,ok,401,594,17,6,33728,0,170443.92,3620,107,1
crc-5uF,5uF,ok,225,309,8,2,24144,0,49373.59,1593,20431,1
crc-10uF,10uF,ok,225,309,8,2,24128,0,49373.11,1593,20431,1
crc-50uF,50uF,ok,225,309,8,2,24272,0,49375.21,1593,20431,1
rsa-5uF,5uF,ok,206,293,32,20,25184,0,212479.67,0,,1
rsa-10uF,10uF,ok,206,293,32,20,25296,0,212471.59,0,,1
rsa-50uF,50uF,ok,206,293,32,20,25408,0,212470.66,0,,1
dijkstra-5uF,5uF,ok,17,24,4,2,23152,0,1925223.43,0,,1
dijkstra-10uF,10uF,ok,17,24,4,2,23184,0,1925157.29,0,,1
dijkstra-50uF,50uF,ok,17,24,4,2,23104,0,1925203.61,0,,1
qsort-5uF,5uF,ok,27,36,5,4,23456,0,2574285.14,0,,1
qsort-10uF,10uF,ok,27,36,5,4,23632,0,2574171.96,0,,1
qsort-50uF,50uF,ok,27,36,5,4,23712,0,2574206.08,0,,1
activity_recognition-5uF,5uF,ok,1277,1760,7,165,33024,0,50102.86,0,,1
activity_recognition-10uF,10uF,ok,1466,2021,8,200,33872,0,50071.51,0,,1
activity_recognition-50uF,50uF,ok,1466,2021,8,200,33792,0,50072.25,0,,1
bitcount-5uF,5uF,ok,72,107,14,15,24448,0,23025646.39,0,,1
bitcount-10uF,10uF,ok,72,107,14,15,24512,0,23025961.73,0,,1
bitcount-50uF,50uF,ok,72,107,14,15,24352,0,23025480.57,0,,1
chacha20-5uF,5uF,ok,17,23,6,2,25952,0,94810.53,2385,79,1
chacha20-10uF,10uF,ok,31,43,10,3,28976,0,94980.4,2377,79,1
chacha20-50uF,50uF,ok,31,43,10,3,29328,0,94982.43,2377,79,1
sensor_fusion-5uF,5uF,ok,491,728,2,19,26240,0,28216.04,0,,1
sensor_fusion-10uF,10uF,ok,1458,2165,2,67,31536,0,27653.49,0,,1
sensor_fusion-50uF,50uF,ok,1941,2883,2,87,35440,0,27728.34,0,,1
poly1305-5uF,5uF,ok,227,338,3,9,28416,0,527125.43,769,68,1
poly1305-10uF,10uF,ok,220,326,5,6,28272,0,556787.7,2135,68,1
poly1305-50uF,50uF,ok,290,431,6,8,29648,0,558305.28,2113,68,1
cuckoo_filter-5uF,5uF,ok,33,50,5,1,22736,0,93347.67,3149,4048,1
cuckoo_filter-10uF,10uF,ok,33,50,5,1,22896,0,93340.33,3149,4048,1
cuckoo_filter-50uF,50uF,ok,33,50,5,1,22960,0,93344.68,3149,4048,1
sha256_fixed-5uF,5uF,ok,69,97,11,7,28304,0,105272.37,975,131,1
sha256_fixed-10uF,10uF,ok,69,97,11,8,28528,0,105269.52,975,131,1
sha256_fixed-50uF,50uF,ok,69,97,11,7,28448,0,105270.6,975,131,1
stringsearch_fixed-5uF,5uF,ok,41,60,8,4,22976,0,275707.56,0,,1
stringsearch_fixed-10uF,10uF,ok,41,60,8,4,23280,0,275710.82,0,,1
stringsearch_fixed-50uF,50uF,ok,41,60,8,4,22928,0,275716.85,0,,1
