benchmark,capacitor,status,basic_blocks,edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_save_reg_calls,runtime_debug_restore_reg_calls,result
aes-5uF,5uF,ok,781,1164,15,71,61712,0,32825.69,0,0,0,
aes-10uF,10uF,ok,639,950,19,56,57664,0,35128.86,0,0,0,
aes-50uF,50uF,ok,886,1313,31,109,68928,0,37530.16,0,0,0,
crc-5uF,5uF,ok,546,750,14,25,46736,0,15048.87,0,0,0,
crc-10uF,10uF,ok,546,750,14,26,46912,0,15047.64,0,0,0,
crc-50uF,50uF,ok,546,750,14,26,47072,0,15048.69,0,0,0,
rsa-5uF,5uF,ok,351,490,64,18,46944,0,403149.44,0,0,0,
rsa-10uF,10uF,ok,381,532,76,23,46928,0,403762.31,0,0,0,
rsa-50uF,50uF,ok,381,532,76,22,46816,0,403477.32,0,0,0,
dijkstra-5uF,5uF,ok,17,24,5,2,42528,0,1516472.85,0,0,0,
dijkstra-10uF,10uF,ok,17,24,5,2,42400,0,1516391.53,0,0,0,
dijkstra-50uF,50uF,ok,17,24,5,2,42480,0,1514717.99,0,0,0,
qsort-5uF,5uF,ok,27,36,16,12,44112,0,4222917.43,0,0,0,
qsort-10uF,10uF,ok,27,36,16,13,44112,0,4224659.69,0,0,0,
qsort-50uF,50uF,ok,27,36,16,13,44000,0,4223000.31,0,0,0,
activity_recognition-5uF,5uF,ok,961,1297,76,41,50144,0,54151.29,0,0,0,
activity_recognition-10uF,10uF,ok,1109,1519,184,66,51248,0,59276.13,0,0,0,
activity_recognition-50uF,50uF,link_failed,3617,4988,704,404,73920,0,,0,0,0,
bitcount-5uF,5uF,ok,72,107,18,35,47376,0,17400738.99,0,0,0,
bitcount-10uF,10uF,ok,72,107,18,29,47008,0,17400630.66,0,0,0,
bitcount-50uF,50uF,ok,72,107,18,27,46944,0,17402017.4,0,0,0,
