benchmark,capacitor,status,basic_blocks,edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_save_reg_calls,runtime_debug_restore_reg_calls,result
aes-5uF,5uF,ok,755,1128,15,66,60272,0,33695.7,690,0,0,107
aes-10uF,10uF,ok,613,914,19,48,57456,0,35963.16,803,0,0,107
aes-50uF,50uF,link_failed,965,1433,34,114,71744,0,,0,0,0,
crc-5uF,5uF,ok,861,1185,20,58,50640,0,17338.31,578,0,0,39423
crc-10uF,10uF,ok,861,1185,20,58,50592,0,17338.64,578,0,0,39423
crc-50uF,50uF,ok,861,1185,20,58,50704,0,17338.54,578,0,0,39423
rsa-5uF,5uF,ok,455,630,64,25,47584,0,427516.44,20283,0,0,32
rsa-10uF,10uF,ok,525,728,92,38,49328,0,429362.95,20268,0,0,32
rsa-50uF,50uF,ok,543,754,100,41,48912,0,427576.75,20265,0,0,32
dijkstra-5uF,5uF,ok,17,24,5,2,42496,0,1670453.55,121836,0,0,33447
dijkstra-10uF,10uF,ok,17,24,5,2,42544,0,1668169.59,121836,0,0,33447
dijkstra-50uF,50uF,ok,17,24,5,2,42608,0,1667710.47,121836,0,0,33447
qsort-5uF,5uF,ok,27,36,16,19,44672,0,4607971.77,317042,0,0,27023
qsort-10uF,10uF,ok,27,36,16,18,44544,0,4606791.27,317042,0,0,27023
qsort-50uF,50uF,ok,27,36,16,19,44544,0,4608625.05,317042,0,0,27023
activity_recognition-5uF,5uF,ok,876,1183,75,31,50544,0,54836.61,1505,0,0,64
activity_recognition-10uF,10uF,ok,809,1119,183,52,50208,0,62386.17,2481,0,0,64
activity_recognition-50uF,50uF,ok,2474,3410,444,237,65632,0,52296.6,2117,0,0,64
bitcount-5uF,5uF,ok,72,107,18,41,50272,0,18997775.22,1231559,0,0,52382
bitcount-10uF,10uF,ok,72,107,18,42,50272,0,18996107.23,1231559,0,0,52382
bitcount-50uF,50uF,ok,72,107,18,43,50848,0,18996467.16,1231559,0,0,52382
