benchmark,capacitor,status,basic_blocks,edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,result,run_attempts
aes-5uF,5uF,ok,373,552,15,53,33344,0,43006.99,910,107,1
aes-10uF,10uF,ok,401,594,17,59,34000,0,42713.89,908,107,1
aes-50uF,50uF,ok,401,594,17,58,34048,0,42716.25,908,107,1
crc-5uF,5uF,ok,225,309,8,20,24368,0,21729.78,825,39423,1
crc-10uF,10uF,ok,225,309,8,20,24352,0,21730.21,825,39423,1
crc-50uF,50uF,ok,225,309,8,20,24416,0,21729.95,825,39423,1
rsa-5uF,5uF,ok,206,293,32,20,25344,0,229329.43,11649,32,1
rsa-10uF,10uF,ok,206,293,32,20,25264,0,229329.72,11649,32,1
rsa-50uF,50uF,ok,206,293,32,20,25392,0,229329.44,11649,32,1
dijkstra-5uF,5uF,ok,17,24,4,2,23104,0,2081687.4,121836,33447,1
dijkstra-10uF,10uF,ok,17,24,4,2,23200,0,2081722.12,121836,33447,1
dijkstra-50uF,50uF,ok,17,24,4,2,23120,0,2081634.27,121836,33447,1
qsort-5uF,5uF,ok,27,36,5,4,23648,0,2714374.39,106371,27023,1
qsort-10uF,10uF,ok,27,36,5,4,23520,0,2714394.12,106371,27023,1
qsort-50uF,50uF,ok,27,36,5,4,23696,0,2714440.64,106371,27023,1
activity_recognition-5uF,5uF,ok,1277,1760,7,164,33088,0,51393.99,1055,64,1
activity_recognition-10uF,10uF,ok,1466,2021,8,200,33920,0,51277.61,1049,64,1
activity_recognition-50uF,50uF,ok,1466,2021,8,203,33936,0,51276.35,1049,64,1
bitcount-5uF,5uF,ok,72,107,14,14,24208,0,24821658.54,1246544,52382,1
bitcount-10uF,10uF,ok,72,107,14,15,24240,0,24822563.2,1246544,52382,1
bitcount-50uF,50uF,ok,72,107,14,15,24384,0,24821309.35,1246544,52382,1
chacha20-5uF,5uF,ok,9,11,3,32,26512,0,1981.7,20,97,1
chacha20-10uF,10uF,ok,9,11,3,32,26464,0,1981.74,20,97,1
chacha20-50uF,50uF,ok,9,11,3,32,26464,0,1981.71,20,97,1
sensor_fusion-5uF,5uF,ok,491,728,2,19,26256,0,28291.11,51,613,1
sensor_fusion-10uF,10uF,ok,1458,2165,2,67,31632,0,27681.15,18,613,1
sensor_fusion-50uF,50uF,ok,1941,2883,2,88,35296,0,27747.7,14,613,1
poly1305-5uF,5uF,ok,1,0,0,1,22784,0,22.31,0,108,1
poly1305-10uF,10uF,ok,1,0,0,1,22688,0,22.31,0,108,1
poly1305-50uF,50uF,ok,1,0,0,1,22752,0,22.31,0,108,1
cuckoo_filter-5uF,5uF,ok,31,47,4,4,23328,0,5524.99,183,256,1
cuckoo_filter-10uF,10uF,ok,31,47,4,5,23312,0,5524.79,183,256,1
cuckoo_filter-50uF,50uF,ok,31,47,4,5,23408,0,5524.62,183,256,1
sha256_fixed-5uF,5uF,ok,67,94,10,86,28672,0,9625.92,89,244,1
sha256_fixed-10uF,10uF,ok,67,94,10,87,28736,0,9626.19,89,244,1
sha256_fixed-50uF,50uF,ok,67,94,10,85,28704,0,9626.3,89,244,1
stringsearch_fixed-5uF,5uF,ok,41,60,8,4,23168,0,296401.54,17481,20,1
stringsearch_fixed-10uF,10uF,ok,41,60,8,4,23008,0,296398.24,17481,20,1
stringsearch_fixed-50uF,50uF,ok,41,60,8,4,23120,0,296392.79,17481,20,1
