benchmark,capacitor,status,basic_blocks,edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_save_reg_calls,runtime_debug_restore_reg_calls,runtime_debug_store_mem_calls,runtime_debug_restore_mem_calls,result,candidate_globals,enabled_checkpoints,loop_decisions,paths_analyzed,runtime_calls_inserted,run_attempts
aes-5uF,5uF,ok,126,165,12,11,31504,868,1160843.55,1412,19768,19768,2177,0,107,272,11,39,1,29,1
aes-10uF,10uF,ok,126,165,13,13,31520,868,1145267.87,1328,18592,18592,2177,0,107,272,10,39,1,30,1
aes-50uF,50uF,ok,126,165,10,13,31680,868,1140294.75,1286,18004,18004,2177,0,107,272,8,39,1,27,1
crc-5uF,5uF,ok,28,35,3,1,29440,652,259034.24,689,9646,9646,0,0,20431,19,1,5,1,3,1
crc-10uF,10uF,ok,28,35,3,1,29536,652,250916.17,276,3864,3864,0,0,20431,19,1,5,1,3,1
crc-50uF,50uF,ok,28,35,2,1,29472,652,246550.04,46,644,644,0,0,20431,19,1,5,1,2,1
rsa-5uF,5uF,ok,252,341,9,2607,33296,801,93186.09,0,0,0,0,0,,116,7,40,1,9,1
rsa-10uF,10uF,ok,252,341,9,2603,33392,801,92641.83,0,0,0,0,0,,116,7,40,1,9,1
rsa-50uF,50uF,ok,252,341,7,802,33520,801,92561.13,0,0,0,0,0,,116,5,40,1,7,1
dijkstra-5uF,5uF,ok,32,41,2,20,31216,785,792583.47,0,0,0,0,0,,22,1,4,1,2,1
dijkstra-10uF,10uF,ok,32,41,2,19,31152,785,779203.97,0,0,0,0,0,,22,1,4,1,2,1
dijkstra-50uF,50uF,ok,32,41,2,17,31184,785,773601.32,0,0,0,0,0,,22,1,4,1,2,1
qsort-5uF,5uF,ok,21,25,5,4,31504,839,1383180.62,0,0,0,0,0,,14,2,4,1,5,1
qsort-10uF,10uF,ok,21,25,5,4,31488,839,1379990.83,0,0,0,0,0,,14,2,4,1,5,1
qsort-50uF,50uF,ok,21,25,1,5,31312,839,1186131.18,0,0,0,0,0,,14,1,4,1,1,1
activity_recognition-5uF,5uF,ok,224,301,6,225,32784,849,88165.66,0,0,0,0,0,,95,6,24,1,15,1
activity_recognition-10uF,10uF,ok,224,301,6,224,32752,849,88168.73,0,0,0,0,0,,95,6,24,1,15,1
activity_recognition-50uF,50uF,ok,224,301,6,226,32816,849,88167.78,0,0,0,0,0,,95,6,24,1,15,1
bitcount-5uF,5uF,ok,38,52,2,21,31216,810,9620355.63,0,0,0,0,0,,25,1,6,1,2,1
bitcount-10uF,10uF,ok,38,52,2,21,31312,810,9187495.06,0,0,0,0,0,,25,1,6,1,2,1
bitcount-50uF,50uF,ok,38,52,2,21,31280,810,9006389.01,0,0,0,0,0,,25,1,6,1,2,1
chacha20-5uF,5uF,ok,36,45,2,3,30432,774,88960.6,64,896,896,0,0,79,49,2,7,1,2,1
chacha20-10uF,10uF,ok,36,45,2,12,30240,774,88960.52,64,896,896,0,0,79,49,2,7,1,2,1
chacha20-50uF,50uF,ok,36,45,1,5,30336,774,87791.14,3,42,42,0,0,79,49,0,7,1,1,1
sensor_fusion-5uF,5uF,ok,381,563,1,23978,34704,780,32059.17,0,0,0,0,0,,28,1,1,1,4,1
sensor_fusion-10uF,10uF,ok,381,563,1,24165,34736,780,31572.73,0,0,0,0,0,,28,0,1,1,4,1
sensor_fusion-50uF,50uF,ok,381,563,1,24795,34704,780,31586.22,0,0,0,0,0,,28,0,1,1,4,1
poly1305-5uF,5uF,ok,41,52,5,4,30800,680,638056.8,513,7182,7182,512,256,68,123,5,7,1,10,1
poly1305-10uF,10uF,ok,41,52,4,4,30656,680,639050.03,512,7168,7168,512,256,68,123,4,7,1,9,1
poly1305-50uF,50uF,ok,41,52,4,4,30560,680,639057.9,512,7168,7168,512,256,68,123,4,7,1,9,1
cuckoo_filter-5uF,5uF,ok,79,102,6,14,30336,687,261696.03,264,3696,3696,0,0,4048,81,4,12,1,6,1
cuckoo_filter-10uF,10uF,ok,79,102,6,11,30384,687,258721.32,116,1624,1624,0,0,4048,81,3,12,1,6,1
cuckoo_filter-50uF,50uF,ok,79,102,4,11,30304,687,247327.81,22,308,308,0,0,4048,81,2,12,1,4,1
sha256-5uF,5uF,ok,65,86,7,30,32144,786,111485.49,0,0,0,0,0,,87,7,14,1,7,1
sha256-10uF,10uF,ok,65,86,4,32,32064,786,110924.46,0,0,0,0,0,,87,4,14,1,4,1
sha256-50uF,50uF,ok,65,86,1,59,32032,786,110275.21,0,0,0,0,0,,87,1,14,1,1,1
stringsearch_fixed-5uF,5uF,ok,49,63,7,13,31376,735,113186.25,0,0,0,0,0,,25,5,9,1,7,1
stringsearch_fixed-10uF,10uF,ok,49,63,3,16,31200,735,82253.62,0,0,0,0,0,,25,3,9,1,3,1
stringsearch_fixed-50uF,50uF,ok,49,63,2,28,31408,735,83997.56,0,0,0,0,0,,25,1,9,1,2,1
