benchmark,capacitor,status,basic_blocks,edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_save_reg_calls,runtime_debug_restore_reg_calls,runtime_debug_store_mem_calls,runtime_debug_restore_mem_calls,result,candidate_globals,enabled_checkpoints,loop_decisions,paths_analyzed,runtime_calls_inserted,run_attempts
activity_recognition-5uF,5uF,ok,12,16,2,4,31488,511,35961.46,0,0,0,0,0,,11,2,4,1,2,1
activity_recognition-10uF,10uF,ok,12,16,3,4,31408,511,35293.59,0,0,0,0,0,,11,1,4,1,3,1
activity_recognition-50uF,50uF,ok,12,16,2,4,31440,511,34932.68,0,0,0,0,0,,11,1,4,1,2,1
aes-5uF,5uF,ok,20,27,3,5,31872,580,113035.74,0,0,0,0,0,,3,3,7,1,3,1
aes-10uF,10uF,ok,20,27,2,6,31872,580,113205.39,0,0,0,0,0,,3,1,7,1,2,1
aes-50uF,50uF,ok,20,27,3,6,31744,580,114281.74,0,0,0,0,0,,3,1,7,1,3,1
bitcount-5uF,5uF,ok,44,67,17,15,31360,557,4941440.69,0,0,0,0,0,,2,9,13,1,17,1
bitcount-10uF,10uF,ok,44,67,17,16,31488,557,4918787.4,0,0,0,0,0,,2,9,13,1,17,1
bitcount-50uF,50uF,ok,44,67,17,16,31424,557,4902455.3,0,0,0,0,0,,2,9,13,1,17,1
chacha20-5uF,5uF,ok,9,12,2,3,31344,584,58880.31,0,0,0,0,0,,3,1,3,1,2,1
chacha20-10uF,10uF,ok,9,12,1,3,31296,584,58302.45,0,0,0,0,0,,3,1,3,1,1,1
chacha20-50uF,50uF,ok,9,12,1,4,31312,584,57984.89,0,0,0,0,0,,3,0,3,1,1,1
crc-5uF,5uF,ok,7,9,4,1,31008,585,37846.44,0,0,0,0,0,,2,2,3,1,4,1
crc-10uF,10uF,ok,7,9,3,1,30992,585,37679.71,0,0,0,0,0,,2,2,3,1,3,1
crc-50uF,50uF,ok,7,9,1,1,31040,585,29636.17,0,0,0,0,0,,2,1,3,1,1,1
cuckoo_filter-5uF,5uF,ok,18,26,6,6,31248,499,54490.99,0,0,0,0,0,,3,3,4,1,6,1
cuckoo_filter-10uF,10uF,ok,18,26,4,6,31184,499,51148.91,0,0,0,0,0,,3,3,4,1,4,1
cuckoo_filter-50uF,50uF,ok,18,26,2,6,31232,499,45890.0,0,0,0,0,0,,3,2,4,1,2,1
dijkstra-5uF,5uF,ok,14,20,2,6,31216,543,232185.04,0,0,0,0,0,,5,1,3,1,2,1
dijkstra-10uF,10uF,ok,14,20,2,6,31232,543,230271.61,0,0,0,0,0,,5,1,3,1,2,1
dijkstra-50uF,50uF,ok,14,20,1,6,31232,543,220562.79,0,0,0,0,0,,5,1,3,1,1,1
poly1305-5uF,5uF,ok,5,6,2,2,31184,511,539379.08,0,0,0,0,0,,3,1,2,1,2,1
poly1305-10uF,10uF,ok,5,6,1,2,31200,511,523846.08,0,0,0,0,0,,3,1,2,1,1,1
poly1305-50uF,50uF,ok,5,6,1,2,31152,511,523257.02,0,0,0,0,0,,3,0,2,1,1,1
qsort-5uF,5uF,ok,10,14,6,2,31600,525,1348451.61,0,0,0,0,0,,2,3,4,1,6,1
qsort-10uF,10uF,ok,10,14,6,2,31664,525,1346075.17,0,0,0,0,0,,2,3,4,1,6,1
qsort-50uF,50uF,ok,10,14,2,2,31536,525,1081608.73,0,0,0,0,0,,2,2,4,1,2,1
rsa-5uF,5uF,ok,106,157,8,273,31920,565,48470.3,0,0,0,0,0,,8,6,23,1,8,1
rsa-10uF,10uF,ok,106,157,9,782,32112,565,48180.34,0,0,0,0,0,,8,7,23,1,9,1
rsa-50uF,50uF,ok,106,157,7,389,32192,565,47066.33,0,0,0,0,0,,8,5,23,1,7,1
sensor_fusion-5uF,5uF,ok,174,264,1,1359,32320,698,28152.18,0,0,0,0,0,,2,1,1,1,1,1
sensor_fusion-10uF,10uF,ok,174,264,1,3509,32368,698,28150.94,0,0,0,0,0,,2,1,1,1,1,1
sensor_fusion-50uF,50uF,ok,174,264,1,3504,32448,698,27530.36,0,0,0,0,0,,2,0,1,1,1,1
sha256-5uF,5uF,ok,29,42,11,6,31728,552,99270.58,0,0,0,0,0,,6,9,10,1,11,1
sha256-10uF,10uF,ok,29,42,6,7,31808,552,98239.72,0,0,0,0,0,,6,6,10,1,6,1
sha256-50uF,50uF,ok,29,42,1,9,31728,552,96886.61,0,0,0,0,0,,6,1,10,1,1,1
stringsearch-5uF,5uF,ok,29,42,4,13,31360,504,38638.52,0,0,0,0,0,,4,3,7,1,4,1
stringsearch-10uF,10uF,ok,29,42,4,13,31296,504,38236.42,0,0,0,0,0,,4,3,7,1,4,1
stringsearch-50uF,50uF,ok,29,42,4,13,31344,504,38037.65,0,0,0,0,0,,4,3,7,1,4,1
