benchmark,capacitor,status,basic_blocks,edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_save_reg_calls,runtime_debug_restore_reg_calls,runtime_debug_store_mem_calls,runtime_debug_restore_mem_calls,result,candidate_globals,enabled_checkpoints,loop_decisions,paths_analyzed,runtime_calls_inserted,run_attempts
aes-5uF,5uF,ok,20,27,2,1,30080,577,113009.83,94,1316,1316,0,0,107,3,1,7,1,2,1
aes-10uF,10uF,ok,20,27,3,1,30224,577,114874.78,40,560,560,0,0,107,3,1,7,1,3,1
aes-50uF,50uF,ok,20,27,3,1,30176,577,113873.56,4,56,56,0,0,107,3,1,7,1,3,1
crc-5uF,5uF,ok,7,9,4,0,29456,570,38030.96,12,168,168,0,0,20431,2,2,3,1,4,1
crc-10uF,10uF,ok,7,9,3,0,29472,570,37590.96,6,84,84,0,0,20431,2,2,3,1,3,1
crc-50uF,50uF,ok,7,9,1,0,29456,570,29781.95,1,14,14,0,0,20431,2,1,3,1,1,1
rsa-5uF,5uF,ok,104,155,11,72,32400,774,48931.02,83,1162,1162,0,0,32,8,7,25,1,11,1
rsa-10uF,10uF,ok,104,155,11,70,32480,774,48754.91,74,1036,1036,0,0,32,8,7,25,1,11,1
rsa-50uF,50uF,ok,104,155,9,71,32400,774,48435.27,68,952,952,0,0,32,8,7,25,1,9,1
dijkstra-5uF,5uF,ok,14,20,2,5,31120,785,232648.41,230,3220,3220,0,0,33447,5,1,3,1,2,1
dijkstra-10uF,10uF,ok,14,20,2,5,31088,785,230332.55,114,1596,1596,0,0,33447,5,1,3,1,2,1
dijkstra-50uF,50uF,ok,14,20,1,5,31088,785,220575.31,31,434,434,0,0,33447,5,1,3,1,1,1
qsort-5uF,5uF,ok,10,14,6,2,31360,710,1350320.48,748,10472,10472,0,0,27023,2,3,4,1,6,1
qsort-10uF,10uF,ok,10,14,5,2,31360,710,1066329.09,642,8988,8988,0,0,27023,2,3,4,1,5,1
qsort-50uF,50uF,ok,10,14,1,2,31360,710,1079428.2,319,4466,4466,0,0,27023,2,0,4,1,1,1
activity_recognition-5uF,5uF,ok,12,16,8,4,31552,681,36434.49,84,1176,1176,3,3,64,11,8,4,1,14,1
activity_recognition-10uF,10uF,ok,12,16,8,4,31488,681,35664.97,29,406,406,3,3,64,11,6,4,1,14,1
activity_recognition-50uF,50uF,ok,12,16,7,4,31440,681,35092.1,8,112,112,3,3,64,11,6,4,1,13,1
bitcount-5uF,5uF,ok,44,67,15,10,31296,869,4957699.04,2802,39228,39228,0,0,52382,2,7,13,1,15,1
bitcount-10uF,10uF,ok,44,67,15,10,31264,869,4922499.8,1264,17696,17696,0,0,52382,2,7,13,1,15,1
bitcount-50uF,50uF,ok,44,67,12,10,31216,869,4902523.31,243,3402,3402,0,0,52382,2,4,13,1,12,1
chacha20-5uF,5uF,ok,9,12,1,1,29680,469,58610.18,31,434,434,0,0,79,3,1,3,1,1,1
chacha20-10uF,10uF,ok,9,12,1,1,29680,469,58613.77,31,434,434,0,0,79,3,1,3,1,1,1
chacha20-50uF,50uF,ok,9,12,1,1,29808,469,58015.61,2,28,28,0,0,79,3,0,3,1,1,1
sensor_fusion-5uF,5uF,ok,174,264,1,1302,32224,697,27982.54,49,686,686,0,0,613,2,1,1,1,1,1
sensor_fusion-10uF,10uF,ok,174,264,1,2969,32288,697,27982.72,49,686,686,0,0,613,2,1,1,1,1,1
sensor_fusion-50uF,50uF,ok,174,264,1,2934,32432,697,27461.44,3,42,42,0,0,613,2,0,1,1,1,1
poly1305-5uF,5uF,ok,5,6,1,0,29664,487,525357.51,255,3570,3570,0,0,68,3,1,2,1,1,1
poly1305-10uF,10uF,ok,5,6,1,0,29632,487,525384.24,255,3570,3570,0,0,68,3,1,2,1,1,1
poly1305-50uF,50uF,ok,5,6,1,0,29648,487,523687.08,21,294,294,0,0,68,3,0,2,1,1,1
cuckoo_filter-5uF,5uF,ok,18,26,6,1,29648,482,54533.32,42,588,588,0,0,4048,3,3,4,1,6,1
cuckoo_filter-10uF,10uF,ok,18,26,4,1,29584,482,51192.41,21,294,294,0,0,4048,3,3,4,1,4,1
cuckoo_filter-50uF,50uF,ok,18,26,1,1,29488,482,46462.4,3,42,42,0,0,4048,3,1,4,1,1,1
sha256-5uF,5uF,ok,29,42,6,6,31696,679,98578.42,33,462,462,0,0,131,6,6,10,1,6,1
sha256-10uF,10uF,ok,29,42,4,30,31728,679,98610.35,31,434,434,0,0,131,6,4,10,1,4,1
sha256-50uF,50uF,ok,29,42,1,10,31568,679,98394.64,7,98,98,0,0,131,6,0,10,1,1,1
stringsearch-5uF,5uF,ok,29,42,4,9,31184,485,39012.27,113,1582,1582,0,0,20,4,3,7,1,4,1
stringsearch-10uF,10uF,ok,29,42,4,9,31168,485,38531.79,89,1246,1246,0,0,20,4,3,7,1,4,1
stringsearch-50uF,50uF,ok,29,42,4,9,31184,485,38292.51,77,1078,1078,0,0,20,4,3,7,1,4,1
