benchmark,capacitor,status,basic_blocks,edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_save_reg_calls,runtime_debug_restore_reg_calls,runtime_debug_store_mem_calls,runtime_debug_restore_mem_calls,result,candidate_globals,enabled_checkpoints,loop_decisions,paths_analyzed,runtime_calls_inserted,run_attempts
aes-5uF,5uF,ok,126,165,9,131,33168,976,290285.0,352,4928,4928,545,0,107,272,9,39,1,26,1
aes-10uF,10uF,ok,126,165,10,119,32880,976,289886.83,332,4648,4648,545,0,107,272,8,39,1,27,1
aes-50uF,50uF,ok,126,165,8,119,32896,976,293115.64,322,4508,4508,545,0,107,272,8,39,1,25,1
crc-5uF,5uF,ok,28,35,3,8,31072,682,72763.31,177,2478,2478,0,0,39423,19,1,5,1,3,1
crc-10uF,10uF,ok,28,35,3,8,31056,682,70678.66,71,994,994,0,0,39423,19,1,5,1,3,1
crc-50uF,50uF,ok,28,35,2,8,31152,682,69195.38,12,168,168,0,0,39423,19,1,5,1,2,1
rsa-5uF,5uF,ok,252,341,9,2600,33040,734,94095.85,117,1638,1638,0,0,32,116,7,40,1,9,1
rsa-10uF,10uF,ok,252,341,9,2598,33328,734,93435.99,84,1176,1176,0,0,32,116,7,40,1,9,1
rsa-50uF,50uF,ok,252,341,7,799,33264,734,91715.85,11,154,154,0,0,32,116,5,40,1,7,1
dijkstra-5uF,5uF,ok,32,41,2,19,31168,799,818801.51,1251,17514,17514,0,0,33447,22,1,4,1,2,1
dijkstra-10uF,10uF,ok,32,41,2,19,31104,799,802415.24,430,6020,6020,0,0,33447,22,1,4,1,2,1
dijkstra-50uF,50uF,ok,32,41,2,17,31120,799,795493.51,73,1022,1022,0,0,33447,22,1,4,1,2,1
qsort-5uF,5uF,ok,21,25,5,4,31472,683,1403579.43,869,12166,12166,0,0,27023,14,2,4,1,5,1
qsort-10uF,10uF,ok,21,25,5,4,31376,683,1399780.71,675,9450,9450,0,0,27023,14,2,4,1,5,1
qsort-50uF,50uF,ok,21,25,1,5,31360,683,1214815.2,639,8946,8946,0,0,27023,14,1,4,1,1,1
activity_recognition-5uF,5uF,ok,224,301,6,224,32736,817,89054.67,192,2688,2688,192,96,64,95,6,24,1,15,1
activity_recognition-10uF,10uF,ok,224,301,6,225,32704,817,89051.4,192,2688,2688,192,96,64,95,6,24,1,15,1
activity_recognition-50uF,50uF,ok,224,301,6,225,32784,817,89054.83,192,2688,2688,192,96,64,95,6,24,1,15,1
bitcount-5uF,5uF,ok,38,52,2,21,31232,787,9696924.28,40008,560112,560112,0,0,52382,25,1,6,1,2,1
bitcount-10uF,10uF,ok,38,52,2,26,31296,787,9167149.84,13336,186704,186704,0,0,52382,25,1,6,1,2,1
bitcount-50uF,50uF,ok,38,52,2,21,31264,787,8945682.69,2192,30688,30688,0,0,52382,25,1,6,1,2,1
chacha20-5uF,5uF,ok,32,40,1,15,31696,809,2958.81,1,14,14,0,0,97,49,1,6,1,1,1
chacha20-10uF,10uF,ok,32,40,1,106,31952,809,2958.62,1,14,14,0,0,97,49,1,6,1,1,1
chacha20-50uF,50uF,ok,32,40,0,27,31792,809,2914.82,0,0,0,0,0,97,49,0,6,1,0,1
sensor_fusion-5uF,5uF,ok,381,563,1,24196,34704,728,32290.27,50,700,700,100,50,613,28,1,1,1,4,1
sensor_fusion-10uF,10uF,ok,381,563,1,23998,34720,728,31693.66,16,224,224,32,16,613,28,0,1,1,4,1
sensor_fusion-50uF,50uF,ok,381,563,1,24265,34736,728,31481.93,1,14,14,2,1,613,28,0,1,1,4,1
poly1305-5uF,5uF,ok,28,36,5,22,32048,787,2379.99,0,0,0,0,0,108,120,5,4,1,10,1
poly1305-10uF,10uF,ok,28,36,5,22,32016,787,2380.17,0,0,0,0,0,108,120,5,4,1,10,1
poly1305-50uF,50uF,ok,28,36,5,22,31920,787,2380.21,0,0,0,0,0,108,120,5,4,1,10,1
cuckoo_filter-5uF,5uF,ok,74,96,4,89,31696,857,15525.87,16,224,224,0,0,256,78,2,11,1,4,1
cuckoo_filter-10uF,10uF,ok,74,96,4,71,31744,857,15367.34,8,112,112,0,0,256,78,2,11,1,4,1
cuckoo_filter-50uF,50uF,ok,74,96,1,71,31712,857,14967.82,1,14,14,0,0,256,78,1,11,1,1,1
sha256_fixed-5uF,5uF,ok,60,80,6,24,32048,710,9555.09,6,84,84,3,3,244,72,6,13,1,12,1
sha256_fixed-10uF,10uF,ok,60,80,6,28,31968,710,9555.81,6,84,84,3,3,244,72,6,13,1,12,1
sha256_fixed-50uF,50uF,ok,60,80,6,24,32016,710,9555.14,6,84,84,3,3,244,72,6,13,1,12,1
stringsearch_fixed-5uF,5uF,ok,49,63,7,13,31280,758,114276.72,312,4368,4368,0,0,20,25,5,9,1,7,1
stringsearch_fixed-10uF,10uF,ok,49,63,3,16,31360,758,82896.34,146,2044,2044,0,0,20,25,3,9,1,3,1
stringsearch_fixed-50uF,50uF,ok,49,63,2,27,31360,758,84252.02,66,924,924,0,0,20,25,1,9,1,2,1
